mistreat	0000121
	0000000
instep	0000268
impersonation	0000235 marked
belligerent	0000620 marked
thought-out	0000000 marked
unavailable	0001575
supplant	0000381
abrupt	0001956
shooting	0020085
disapproval	0001434
combativeness	0000056
predispose	0000218
pollution	0011862
salary	0009392
the argument goes	0023483
pretend	0005664
brinkmanship	0000133
dislocated	0000536
wreck	0002950 marked
imperfect	0001554
blameworthy	0000000
pick	0038393
gloomy	0001496
sake	0009116
daring	0002810 marked
conceal	0001988
deference	0001250 marked
legal entity	0004024
networking party	0002589 marked
competent	0004030
coincide	0001164
require	0028469
scratch	0004307
avoidance	0002025
lexeme	0000006
click	0006734
compassionate	0002363
paper jam	0004229
blow themselves	0013326
willow	0001710 marked
neatness	0000211
put forth	0020410 marked
have a good run	0103714 marked
rose-tinted glasses	0000000
beaten path	0006867
go to great lengths (go to any lengths)	0000000 marked
handheld	0001208 marked
squared	0001030
(to compare/to mix/something is) apples and/with oranges	0000000 marked
copulate	0000103
bogus	0001226
flit	0000203 marked
self-indulgent	0000000
turf	0003152
upholstery	0000837
cliff	0005600
parallax distortion	0000166
clamp down	0001040
concede	0002125
perseverance	0000900
responsively	0000000
pier	0001959
reprimand	0000563 marked
live off	0105619
haystack	0000458
transitional	0002174
wreak	0000600
off-the-rack	0000000
evaporate	0000724
luminosity	0000509 marked
infirm.	0000000
flip	0004237
staircase	0002644
rational	0006147
nibble	0000555
hand	0147365 marked
rescind	0000258
contractual	0000822
tatter	0000020
posture	0003908
commonness	0000043
sombre	0000058
artistic	0009763
weeping	0002363
monetary policy	0005320
precipitously	0000456
straight	0037600
halt	0004798
catch-22	0000000
overjoy	0000000
energy consuming	0002296
exciting	0011169
sunset	0003857
early on	0129424
obvious	0021934
regain	0002832
dogged	0001028
kick-start	0000000
thy	0001657
resolve	0008953
chalk up	0001825
brain drain	0007073
put up	0196897 marked
fornicating	0000039
obese	0001583
deploy	0001700
faithful	0005032
empty	0025772
huddle	0001103
tie	0014039
rendition	0001090
passable	0000313 marked
romp	0000506 marked
trample over	0000266
tin	0004126
myriad	0002737
besides	0017423
mnemonic	0000382 marked
tip	0013588
disperse	0000862
aficionado	0000273
predicted	0009855
high and dry	0028423
erratic	0001362
talk the talk	0136162 marked
erode	0001005
unchecked	0000809
irrelevance	0000312 marked
spruce up	0001546
feet wet	0016341
sane	0001533
divergence	0000691
aside	0023761
gorgeous	0004593
grueling	0001331
wacky	0000872
proxy vote	0001521
ascend	0000683
harm	0011307
neural	0001555
embezzle	0000024
harp	0001064
rope	0007193 marked
